date,description,amount,currency,labeled_category
2026-02-02,DEBIT 2/2 NETFLIX.COM MONTHLY REF 100001,$8.91,USD,Luxuries
2026-03-03,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100002,$1120.00,USD,Rent
2026-04-04,CARD 4/4 SHELL OIL 1003 MOUNTAIN VIEW CA,$14.49,USD,Transport
2026-05-05,ONLINE WATER UTILITY AUTOPAY ACCT 100004,$39.48,USD,Utilities
2026-06-06,CARD 6/6 CVS PHARMACY 1005 PALO ALTO CA,$14.25,USD,Healthcare
2026-07-07,CARD 7/7 TARGET T-1006 SUNNYVALE CA,$21.54,USD,Misc
2026-08-08,POS 8/8 DOORDASH ORDER 100007 21:49,$17.93,USD,Food
2026-09-09,ACH PGANDE ELECTRIC BILL ACCT 100008,$52.48,USD,Utilities
2026-10-10,CARD 10/10 UBER TRIP HELP.UBER.COM REF 100009,$14.92,USD,Transport
2026-11-11,CARD 11/11 WHOLE FOODS MARKET 1010 CUPERTINO CA,$32.40,USD,Food
2026-12-12,POS 12/12 UNKNOWN MERCHANT ONLINE REF 100011,$15.12,USD,Uncategorized
2026-01-13,CARD 1/13 STARBUCKS #1012 SAN JOSE CA REF 100012,$13.24,USD,Food
2026-02-14,DEBIT 2/14 NETFLIX.COM MONTHLY REF 100013,$19.83,USD,Luxuries
2026-03-15,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100014,$1460.00,USD,Rent
2026-04-16,CARD 4/16 SHELL OIL 1015 MOUNTAIN VIEW CA,$24.45,USD,Transport
2026-05-17,ONLINE WATER UTILITY AUTOPAY ACCT 100016,$52.92,USD,Utilities
2026-06-18,CARD 6/18 CVS PHARMACY 1017 PALO ALTO CA,$26.85,USD,Healthcare
2026-07-19,CARD 7/19 TARGET T-1018 SUNNYVALE CA,$34.62,USD,Misc
2026-08-20,POS 8/20 DOORDASH ORDER 100019 9:13,$29.81,USD,Food
2026-09-21,ACH PGANDE ELECTRIC BILL ACCT 100020,$68.20,USD,Utilities
2026-10-22,CARD 10/22 UBER TRIP HELP.UBER.COM REF 100021,$25.48,USD,Transport
2026-11-23,CARD 11/23 WHOLE FOODS MARKET 1022 CUPERTINO CA,$47.28,USD,Food
2026-12-24,POS 12/24 UNKNOWN MERCHANT ONLINE REF 100023,$26.16,USD,Uncategorized
2026-01-25,CARD 1/25 STARBUCKS #1024 SAN JOSE CA REF 100024,$22.48,USD,Food
2026-02-26,DEBIT 2/26 NETFLIX.COM MONTHLY REF 100025,$8.00,USD,Luxuries
2026-03-27,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100026,$1120.00,USD,Rent
2026-04-28,CARD 4/28 SHELL OIL 1027 MOUNTAIN VIEW CA,$34.41,USD,Transport
2026-05-01,ONLINE WATER UTILITY AUTOPAY ACCT 100028,$66.36,USD,Utilities
2026-06-02,CARD 6/2 CVS PHARMACY 1029 PALO ALTO CA,$39.45,USD,Healthcare
2026-07-03,CARD 7/3 TARGET T-1030 SUNNYVALE CA,$47.70,USD,Misc
2026-08-04,POS 8/4 DOORDASH ORDER 100031 21:37,$41.69,USD,Food
2026-09-05,ACH PGANDE ELECTRIC BILL ACCT 100032,$83.92,USD,Utilities
2026-10-06,CARD 10/6 UBER TRIP HELP.UBER.COM REF 100033,$36.04,USD,Transport
2026-11-07,CARD 11/7 WHOLE FOODS MARKET 1034 CUPERTINO CA,$62.16,USD,Food
2026-12-08,POS 12/8 UNKNOWN MERCHANT ONLINE REF 100035,$37.20,USD,Uncategorized
2026-01-09,CARD 1/9 STARBUCKS #1036 SAN JOSE CA REF 100036,$31.72,USD,Food
2026-02-10,DEBIT 2/10 NETFLIX.COM MONTHLY REF 100037,$18.92,USD,Luxuries
2026-03-11,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100038,$1460.00,USD,Rent
2026-04-12,CARD 4/12 SHELL OIL 1039 MOUNTAIN VIEW CA,$44.37,USD,Transport
2026-05-13,ONLINE WATER UTILITY AUTOPAY ACCT 100040,$79.80,USD,Utilities
2026-06-14,CARD 6/14 CVS PHARMACY 1041 PALO ALTO CA,$52.05,USD,Healthcare
2026-07-15,CARD 7/15 TARGET T-1042 SUNNYVALE CA,$60.78,USD,Misc
2026-08-16,POS 8/16 DOORDASH ORDER 100043 9:1,$53.57,USD,Food
2026-09-17,ACH PGANDE ELECTRIC BILL ACCT 100044,$99.64,USD,Utilities
2026-10-18,CARD 10/18 UBER TRIP HELP.UBER.COM REF 100045,$15.80,USD,Transport
2026-11-19,CARD 11/19 WHOLE FOODS MARKET 1046 CUPERTINO CA,$77.04,USD,Food
2026-12-20,POS 12/20 UNKNOWN MERCHANT ONLINE REF 100047,$48.24,USD,Uncategorized
2026-01-21,CARD 1/21 STARBUCKS #1048 SAN JOSE CA REF 100048,$10.16,USD,Food
2026-02-22,DEBIT 2/22 NETFLIX.COM MONTHLY REF 100049,$29.84,USD,Luxuries
2026-03-23,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100050,$1120.00,USD,Rent
2026-04-24,CARD 4/24 SHELL OIL 1051 MOUNTAIN VIEW CA,$16.98,USD,Transport
2026-05-25,ONLINE WATER UTILITY AUTOPAY ACCT 100052,$93.24,USD,Utilities
2026-06-26,CARD 6/26 CVS PHARMACY 1053 PALO ALTO CA,$64.65,USD,Healthcare
2026-07-27,CARD 7/27 TARGET T-1054 SUNNYVALE CA,$73.86,USD,Misc
2026-08-28,POS 8/28 DOORDASH ORDER 100055 21:25,$15.95,USD,Food
2026-09-01,ACH PGANDE ELECTRIC BILL ACCT 100056,$115.36,USD,Utilities
2026-10-02,CARD 10/2 UBER TRIP HELP.UBER.COM REF 100057,$26.36,USD,Transport
2026-11-03,CARD 11/3 WHOLE FOODS MARKET 1058 CUPERTINO CA,$91.92,USD,Food
2026-12-04,POS 12/4 UNKNOWN MERCHANT ONLINE REF 100059,$8.68,USD,Uncategorized
2026-01-05,CARD 1/5 STARBUCKS #1060 SAN JOSE CA REF 100060,$19.40,USD,Food
2026-02-06,DEBIT 2/6 NETFLIX.COM MONTHLY REF 100061,$18.01,USD,Luxuries
2026-03-07,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100062,$1460.00,USD,Rent
2026-04-08,CARD 4/8 SHELL OIL 1063 MOUNTAIN VIEW CA,$26.94,USD,Transport
2026-05-09,ONLINE WATER UTILITY AUTOPAY ACCT 100064,$39.48,USD,Utilities
2026-06-10,CARD 6/10 CVS PHARMACY 1065 PALO ALTO CA,$77.25,USD,Healthcare
2026-07-11,CARD 7/11 TARGET T-1066 SUNNYVALE CA,$86.94,USD,Misc
2026-08-12,POS 8/12 DOORDASH ORDER 100067 9:49,$27.83,USD,Food
2026-09-13,ACH PGANDE ELECTRIC BILL ACCT 100068,$131.08,USD,Utilities
2026-10-14,CARD 10/14 UBER TRIP HELP.UBER.COM REF 100069,$36.92,USD,Transport
2026-11-15,CARD 11/15 WHOLE FOODS MARKET 1070 CUPERTINO CA,$106.80,USD,Food
2026-12-16,POS 12/16 UNKNOWN MERCHANT ONLINE REF 100071,$19.72,USD,Uncategorized
2026-01-17,CARD 1/17 STARBUCKS #1072 SAN JOSE CA REF 100072,$28.64,USD,Food
2026-02-18,DEBIT 2/18 NETFLIX.COM MONTHLY REF 100073,$28.93,USD,Luxuries
2026-03-19,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100074,$1120.00,USD,Rent
2026-04-20,CARD 4/20 SHELL OIL 1075 MOUNTAIN VIEW CA,$36.90,USD,Transport
2026-05-21,ONLINE WATER UTILITY AUTOPAY ACCT 100076,$52.92,USD,Utilities
2026-06-22,CARD 6/22 CVS PHARMACY 1077 PALO ALTO CA,$16.35,USD,Healthcare
2026-07-23,CARD 7/23 TARGET T-1078 SUNNYVALE CA,$100.02,USD,Misc
2026-08-24,POS 8/24 DOORDASH ORDER 100079 21:13,$39.71,USD,Food
2026-09-25,ACH PGANDE ELECTRIC BILL ACCT 100080,$42.00,USD,Utilities
2026-10-26,CARD 10/26 UBER TRIP HELP.UBER.COM REF 100081,$16.68,USD,Transport
2026-11-27,CARD 11/27 WHOLE FOODS MARKET 1082 CUPERTINO CA,$121.68,USD,Food
2026-12-28,POS 12/28 UNKNOWN MERCHANT ONLINE REF 100083,$30.76,USD,Uncategorized
2026-01-01,CARD 1/1 STARBUCKS #1084 SAN JOSE CA REF 100084,$7.08,USD,Food
2026-02-02,DEBIT 2/2 NETFLIX.COM MONTHLY REF 100085,$17.10,USD,Luxuries
2026-03-03,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100086,$1460.00,USD,Rent
2026-04-04,CARD 4/4 SHELL OIL 1087 MOUNTAIN VIEW CA,$46.86,USD,Transport
2026-05-05,ONLINE WATER UTILITY AUTOPAY ACCT 100088,$66.36,USD,Utilities
2026-06-06,CARD 6/6 CVS PHARMACY 1089 PALO ALTO CA,$28.95,USD,Healthcare
2026-07-07,CARD 7/7 TARGET T-1090 SUNNYVALE CA,$113.10,USD,Misc
2026-08-08,POS 8/8 DOORDASH ORDER 100091 9:37,$51.59,USD,Food
2026-09-09,ACH PGANDE ELECTRIC BILL ACCT 100092,$57.72,USD,Utilities
2026-10-10,CARD 10/10 UBER TRIP HELP.UBER.COM REF 100093,$27.24,USD,Transport
2026-11-11,CARD 11/11 WHOLE FOODS MARKET 1094 CUPERTINO CA,$136.56,USD,Food
2026-12-12,POS 12/12 UNKNOWN MERCHANT ONLINE REF 100095,$41.80,USD,Uncategorized
2026-01-13,CARD 1/13 STARBUCKS #1096 SAN JOSE CA REF 100096,$16.32,USD,Food
2026-02-14,DEBIT 2/14 NETFLIX.COM MONTHLY REF 100097,$28.02,USD,Luxuries
2026-03-15,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100098,$1120.00,USD,Rent
2026-04-16,CARD 4/16 SHELL OIL 1099 MOUNTAIN VIEW CA,$19.47,USD,Transport
2026-05-17,ONLINE WATER UTILITY AUTOPAY ACCT 100100,$79.80,USD,Utilities
2026-06-18,CARD 6/18 CVS PHARMACY 1101 PALO ALTO CA,$41.55,USD,Healthcare
2026-07-19,CARD 7/19 TARGET T-1102 SUNNYVALE CA,$126.18,USD,Misc
2026-08-20,POS 8/20 DOORDASH ORDER 100103 21:1,$13.97,USD,Food
2026-09-21,ACH PGANDE ELECTRIC BILL ACCT 100104,$73.44,USD,Utilities
2026-10-22,CARD 10/22 UBER TRIP HELP.UBER.COM REF 100105,$7.00,USD,Transport
2026-11-23,CARD 11/23 WHOLE FOODS MARKET 1106 CUPERTINO CA,$151.44,USD,Food
2026-12-24,POS 12/24 UNKNOWN MERCHANT ONLINE REF 100107,$52.84,USD,Uncategorized
2026-01-25,CARD 1/25 STARBUCKS #1108 SAN JOSE CA REF 100108,$25.56,USD,Food
2026-02-26,DEBIT 2/26 NETFLIX.COM MONTHLY REF 100109,$16.19,USD,Luxuries
2026-03-27,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100110,$1460.00,USD,Rent
2026-04-28,CARD 4/28 SHELL OIL 1111 MOUNTAIN VIEW CA,$29.43,USD,Transport
2026-05-01,ONLINE WATER UTILITY AUTOPAY ACCT 100112,$93.24,USD,Utilities
2026-06-02,CARD 6/2 CVS PHARMACY 1113 PALO ALTO CA,$54.15,USD,Healthcare
2026-07-03,CARD 7/3 TARGET T-1114 SUNNYVALE CA,$19.36,USD,Misc
2026-08-04,POS 8/4 DOORDASH ORDER 100115 9:25,$25.85,USD,Food
2026-09-05,ACH PGANDE ELECTRIC BILL ACCT 100116,$89.16,USD,Utilities
2026-10-06,CARD 10/6 UBER TRIP HELP.UBER.COM REF 100117,$17.56,USD,Transport
2026-11-07,CARD 11/7 WHOLE FOODS MARKET 1118 CUPERTINO CA,$166.32,USD,Food
2026-12-08,POS 12/8 UNKNOWN MERCHANT ONLINE REF 100119,$13.28,USD,Uncategorized
2026-01-09,CARD 1/9 STARBUCKS #1120 SAN JOSE CA REF 100120,$4.00,USD,Food
2026-02-10,DEBIT 2/10 NETFLIX.COM MONTHLY REF 100121,$27.11,USD,Luxuries
2026-03-11,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100122,$1120.00,USD,Rent
2026-04-12,CARD 4/12 SHELL OIL 1123 MOUNTAIN VIEW CA,$39.39,USD,Transport
2026-05-13,ONLINE WATER UTILITY AUTOPAY ACCT 100124,$39.48,USD,Utilities
2026-06-14,CARD 6/14 CVS PHARMACY 1125 PALO ALTO CA,$66.75,USD,Healthcare
2026-07-15,CARD 7/15 TARGET T-1126 SUNNYVALE CA,$32.44,USD,Misc
2026-08-16,POS 8/16 DOORDASH ORDER 100127 21:49,$37.73,USD,Food
2026-09-17,ACH PGANDE ELECTRIC BILL ACCT 100128,$104.88,USD,Utilities
2026-10-18,CARD 10/18 UBER TRIP HELP.UBER.COM REF 100129,$28.12,USD,Transport
2026-11-19,CARD 11/19 WHOLE FOODS MARKET 1130 CUPERTINO CA,$20.00,USD,Food
2026-12-20,POS 12/20 UNKNOWN MERCHANT ONLINE REF 100131,$24.32,USD,Uncategorized
2026-01-21,CARD 1/21 STARBUCKS #1132 SAN JOSE CA REF 100132,$13.24,USD,Food
2026-02-22,DEBIT 2/22 NETFLIX.COM MONTHLY REF 100133,$15.28,USD,Luxuries
2026-03-23,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100134,$1460.00,USD,Rent
2026-04-24,CARD 4/24 SHELL OIL 1135 MOUNTAIN VIEW CA,$12.00,USD,Transport
2026-05-25,ONLINE WATER UTILITY AUTOPAY ACCT 100136,$52.92,USD,Utilities
2026-06-26,CARD 6/26 CVS PHARMACY 1137 PALO ALTO CA,$79.35,USD,Healthcare
2026-07-27,CARD 7/27 TARGET T-1138 SUNNYVALE CA,$45.52,USD,Misc
2026-08-28,POS 8/28 DOORDASH ORDER 100139 9:13,$49.61,USD,Food
2026-09-01,ACH PGANDE ELECTRIC BILL ACCT 100140,$120.60,USD,Utilities
2026-10-02,CARD 10/2 UBER TRIP HELP.UBER.COM REF 100141,$7.88,USD,Transport
2026-11-03,CARD 11/3 WHOLE FOODS MARKET 1142 CUPERTINO CA,$34.88,USD,Food
2026-12-04,POS 12/4 UNKNOWN MERCHANT ONLINE REF 100143,$35.36,USD,Uncategorized
2026-01-05,CARD 1/5 STARBUCKS #1144 SAN JOSE CA REF 100144,$22.48,USD,Food
2026-02-06,DEBIT 2/6 NETFLIX.COM MONTHLY REF 100145,$26.20,USD,Luxuries
2026-03-07,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100146,$1120.00,USD,Rent
2026-04-08,CARD 4/8 SHELL OIL 1147 MOUNTAIN VIEW CA,$21.96,USD,Transport
2026-05-09,ONLINE WATER UTILITY AUTOPAY ACCT 100148,$66.36,USD,Utilities
2026-06-10,CARD 6/10 CVS PHARMACY 1149 PALO ALTO CA,$18.45,USD,Healthcare
2026-07-11,CARD 7/11 TARGET T-1150 SUNNYVALE CA,$58.60,USD,Misc
2026-08-12,POS 8/12 DOORDASH ORDER 100151 21:37,$11.99,USD,Food
2026-09-13,ACH PGANDE ELECTRIC BILL ACCT 100152,$136.32,USD,Utilities
2026-10-14,CARD 10/14 UBER TRIP HELP.UBER.COM REF 100153,$18.44,USD,Transport
2026-11-15,CARD 11/15 WHOLE FOODS MARKET 1154 CUPERTINO CA,$49.76,USD,Food
2026-12-16,POS 12/16 UNKNOWN MERCHANT ONLINE REF 100155,$46.40,USD,Uncategorized
2026-01-17,CARD 1/17 STARBUCKS #1156 SAN JOSE CA REF 100156,$31.72,USD,Food
2026-02-18,DEBIT 2/18 NETFLIX.COM MONTHLY REF 100157,$14.37,USD,Luxuries
2026-03-19,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100158,$1460.00,USD,Rent
2026-04-20,CARD 4/20 SHELL OIL 1159 MOUNTAIN VIEW CA,$31.92,USD,Transport
2026-05-21,ONLINE WATER UTILITY AUTOPAY ACCT 100160,$79.80,USD,Utilities
2026-06-22,CARD 6/22 CVS PHARMACY 1161 PALO ALTO CA,$31.05,USD,Healthcare
2026-07-23,CARD 7/23 TARGET T-1162 SUNNYVALE CA,$71.68,USD,Misc
2026-08-24,POS 8/24 DOORDASH ORDER 100163 9:1,$23.87,USD,Food
2026-09-25,ACH PGANDE ELECTRIC BILL ACCT 100164,$47.24,USD,Utilities
2026-10-26,CARD 10/26 UBER TRIP HELP.UBER.COM REF 100165,$29.00,USD,Transport
2026-11-27,CARD 11/27 WHOLE FOODS MARKET 1166 CUPERTINO CA,$64.64,USD,Food
2026-12-28,POS 12/28 UNKNOWN MERCHANT ONLINE REF 100167,$6.84,USD,Uncategorized
2026-01-01,CARD 1/1 STARBUCKS #1168 SAN JOSE CA REF 100168,$10.16,USD,Food
2026-02-02,DEBIT 2/2 NETFLIX.COM MONTHLY REF 100169,$25.29,USD,Luxuries
2026-03-03,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100170,$1120.00,USD,Rent
2026-04-04,CARD 4/4 SHELL OIL 1171 MOUNTAIN VIEW CA,$41.88,USD,Transport
2026-05-05,ONLINE WATER UTILITY AUTOPAY ACCT 100172,$93.24,USD,Utilities
2026-06-06,CARD 6/6 CVS PHARMACY 1173 PALO ALTO CA,$43.65,USD,Healthcare
2026-07-07,CARD 7/7 TARGET T-1174 SUNNYVALE CA,$84.76,USD,Misc
2026-08-08,POS 8/8 DOORDASH ORDER 100175 21:25,$35.75,USD,Food
2026-09-09,ACH PGANDE ELECTRIC BILL ACCT 100176,$62.96,USD,Utilities
2026-10-10,CARD 10/10 UBER TRIP HELP.UBER.COM REF 100177,$8.76,USD,Transport
2026-11-11,CARD 11/11 WHOLE FOODS MARKET 1178 CUPERTINO CA,$79.52,USD,Food
2026-12-12,POS 12/12 UNKNOWN MERCHANT ONLINE REF 100179,$17.88,USD,Uncategorized
2026-01-13,CARD 1/13 STARBUCKS #1180 SAN JOSE CA REF 100180,$19.40,USD,Food
2026-02-14,DEBIT 2/14 NETFLIX.COM MONTHLY REF 100181,$13.46,USD,Luxuries
2026-03-15,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100182,$1460.00,USD,Rent
2026-04-16,CARD 4/16 SHELL OIL 1183 MOUNTAIN VIEW CA,$14.49,USD,Transport
2026-05-17,ONLINE WATER UTILITY AUTOPAY ACCT 100184,$39.48,USD,Utilities
2026-06-18,CARD 6/18 CVS PHARMACY 1185 PALO ALTO CA,$56.25,USD,Healthcare
2026-07-19,CARD 7/19 TARGET T-1186 SUNNYVALE CA,$97.84,USD,Misc
2026-08-20,POS 8/20 DOORDASH ORDER 100187 9:49,$47.63,USD,Food
2026-09-21,ACH PGANDE ELECTRIC BILL ACCT 100188,$78.68,USD,Utilities
2026-10-22,CARD 10/22 UBER TRIP HELP.UBER.COM REF 100189,$19.32,USD,Transport
2026-11-23,CARD 11/23 WHOLE FOODS MARKET 1190 CUPERTINO CA,$94.40,USD,Food
2026-12-24,POS 12/24 UNKNOWN MERCHANT ONLINE REF 100191,$28.92,USD,Uncategorized
2026-01-25,CARD 1/25 STARBUCKS #1192 SAN JOSE CA REF 100192,$28.64,USD,Food
2026-02-26,DEBIT 2/26 NETFLIX.COM MONTHLY REF 100193,$24.38,USD,Luxuries
2026-03-27,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100194,$1120.00,USD,Rent
2026-04-28,CARD 4/28 SHELL OIL 1195 MOUNTAIN VIEW CA,$24.45,USD,Transport
2026-05-01,ONLINE WATER UTILITY AUTOPAY ACCT 100196,$52.92,USD,Utilities
2026-06-02,CARD 6/2 CVS PHARMACY 1197 PALO ALTO CA,$68.85,USD,Healthcare
2026-07-03,CARD 7/3 TARGET T-1198 SUNNYVALE CA,$110.92,USD,Misc
2026-08-04,POS 8/4 DOORDASH ORDER 100199 21:13,$59.51,USD,Food
2026-09-05,ACH PGANDE ELECTRIC BILL ACCT 100200,$94.40,USD,Utilities
2026-10-06,CARD 10/6 UBER TRIP HELP.UBER.COM REF 100201,$29.88,USD,Transport
2026-11-07,CARD 11/7 WHOLE FOODS MARKET 1202 CUPERTINO CA,$109.28,USD,Food
2026-12-08,POS 12/8 UNKNOWN MERCHANT ONLINE REF 100203,$39.96,USD,Uncategorized
2026-01-09,CARD 1/9 STARBUCKS #1204 SAN JOSE CA REF 100204,$7.08,USD,Food
2026-02-10,DEBIT 2/10 NETFLIX.COM MONTHLY REF 100205,$12.55,USD,Luxuries
2026-03-11,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100206,$1460.00,USD,Rent
2026-04-12,CARD 4/12 SHELL OIL 1207 MOUNTAIN VIEW CA,$34.41,USD,Transport
2026-05-13,ONLINE WATER UTILITY AUTOPAY ACCT 100208,$66.36,USD,Utilities
2026-06-14,CARD 6/14 CVS PHARMACY 1209 PALO ALTO CA,$81.45,USD,Healthcare
2026-07-15,CARD 7/15 TARGET T-1210 SUNNYVALE CA,$124.00,USD,Misc
2026-08-16,POS 8/16 DOORDASH ORDER 100211 9:37,$21.89,USD,Food
2026-09-17,ACH PGANDE ELECTRIC BILL ACCT 100212,$110.12,USD,Utilities
2026-10-18,CARD 10/18 UBER TRIP HELP.UBER.COM REF 100213,$9.64,USD,Transport
2026-11-19,CARD 11/19 WHOLE FOODS MARKET 1214 CUPERTINO CA,$124.16,USD,Food
2026-12-20,POS 12/20 UNKNOWN MERCHANT ONLINE REF 100215,$51.00,USD,Uncategorized
2026-01-21,CARD 1/21 STARBUCKS #1216 SAN JOSE CA REF 100216,$16.32,USD,Food
2026-02-22,DEBIT 2/22 NETFLIX.COM MONTHLY REF 100217,$23.47,USD,Luxuries
2026-03-23,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100218,$1120.00,USD,Rent
2026-04-24,CARD 4/24 SHELL OIL 1219 MOUNTAIN VIEW CA,$44.37,USD,Transport
2026-05-25,ONLINE WATER UTILITY AUTOPAY ACCT 100220,$79.80,USD,Utilities
2026-06-26,CARD 6/26 CVS PHARMACY 1221 PALO ALTO CA,$20.55,USD,Healthcare
2026-07-27,CARD 7/27 TARGET T-1222 SUNNYVALE CA,$17.18,USD,Misc
2026-08-28,POS 8/28 DOORDASH ORDER 100223 21:1,$33.77,USD,Food
2026-09-01,ACH PGANDE ELECTRIC BILL ACCT 100224,$125.84,USD,Utilities
2026-10-02,CARD 10/2 UBER TRIP HELP.UBER.COM REF 100225,$20.20,USD,Transport
2026-11-03,CARD 11/3 WHOLE FOODS MARKET 1226 CUPERTINO CA,$139.04,USD,Food
2026-12-04,POS 12/4 UNKNOWN MERCHANT ONLINE REF 100227,$11.44,USD,Uncategorized
2026-01-05,CARD 1/5 STARBUCKS #1228 SAN JOSE CA REF 100228,$25.56,USD,Food
2026-02-06,DEBIT 2/6 NETFLIX.COM MONTHLY REF 100229,$11.64,USD,Luxuries
2026-03-07,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100230,$1460.00,USD,Rent
2026-04-08,CARD 4/8 SHELL OIL 1231 MOUNTAIN VIEW CA,$16.98,USD,Transport
2026-05-09,ONLINE WATER UTILITY AUTOPAY ACCT 100232,$93.24,USD,Utilities
2026-06-10,CARD 6/10 CVS PHARMACY 1233 PALO ALTO CA,$33.15,USD,Healthcare
2026-07-11,CARD 7/11 TARGET T-1234 SUNNYVALE CA,$30.26,USD,Misc
2026-08-12,POS 8/12 DOORDASH ORDER 100235 9:25,$45.65,USD,Food
2026-09-13,ACH PGANDE ELECTRIC BILL ACCT 100236,$141.56,USD,Utilities
2026-10-14,CARD 10/14 UBER TRIP HELP.UBER.COM REF 100237,$30.76,USD,Transport
2026-11-15,CARD 11/15 WHOLE FOODS MARKET 1238 CUPERTINO CA,$153.92,USD,Food
2026-12-16,POS 12/16 UNKNOWN MERCHANT ONLINE REF 100239,$22.48,USD,Uncategorized
2026-01-17,CARD 1/17 STARBUCKS #1240 SAN JOSE CA REF 100240,$4.00,USD,Food
2026-02-18,DEBIT 2/18 NETFLIX.COM MONTHLY REF 100241,$22.56,USD,Luxuries
2026-03-19,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100242,$1120.00,USD,Rent
2026-04-20,CARD 4/20 SHELL OIL 1243 MOUNTAIN VIEW CA,$26.94,USD,Transport
2026-05-21,ONLINE WATER UTILITY AUTOPAY ACCT 100244,$39.48,USD,Utilities
2026-06-22,CARD 6/22 CVS PHARMACY 1245 PALO ALTO CA,$45.75,USD,Healthcare
2026-07-23,CARD 7/23 TARGET T-1246 SUNNYVALE CA,$43.34,USD,Misc
2026-08-24,POS 8/24 DOORDASH ORDER 100247 21:49,$57.53,USD,Food
2026-09-25,ACH PGANDE ELECTRIC BILL ACCT 100248,$52.48,USD,Utilities
2026-10-26,CARD 10/26 UBER TRIP HELP.UBER.COM REF 100249,$10.52,USD,Transport
